start,end,id,capacity,length,speed,startlat,startlon,endlat,endlon
173,174,8616130,32,241.94861,45,42.371006,-71.08154,42.37315,-71.08104
174,175,25590181,5,41.111786,45,42.369465,-71.0738,42.369164,-71.07351
175,176,25590181,2,15.706984,45,42.369164,-71.07351,42.369022,-71.07352
176,177,25590181,2,20.240532,45,42.369022,-71.07352,42.36886,-71.07362
177,178,188046717,12,90.03056,45,42.369286,-71.07314,42.368664,-71.073845
178,179,188046717,10,78.4672,45,42.36858,-71.07372,42.36914,-71.07314
179,180,188046717,1,13.000882,45,42.36914,-71.07314,42.369236,-71.07305
180,181,100740020,15,117.78586,45,42.36825,-71.07174,42.367653,-71.07056
181,182,138749249,1,13.703219,45,42.369205,-71.077255,42.369328,-71.07723
182,183,138749249,2,18.088882,45,42.369865,-71.0771,42.370026,-71.077065
183,184,268974027,32,241.70175,45,42.369633,-71.08015,42.369263,-71.07725
184,185,426646448,1,11.35215,45,42.370125,-71.075165,42.370068,-71.07505
229,230,188046723,17,131.17003,45,42.36784,-71.07056,42.367176,-71.06924
230,231,188046723,18,138.46039,45,42.36725,-71.06917,42.367954,-71.07056
231,232,426456690,1,11.166564,45,42.36666,-71.0681,42.36673,-71.0682
232,233,100740020,10,76.55628,45,42.367657,-71.07056,42.367287,-71.06977
233,234,122376137,1,7.5,45,42.366673,-71.068275,42.36666,-71.06829
264,265,8614591,10,75.37912,45,42.367065,-71.06902,42.366673,-71.068275
265,266,8614591,10,75.61881,45,42.366734,-71.06821,42.367138,-71.06895
279,280,100720752,1,7.5,45,42.367085,-71.06905,42.367065,-71.06902
280,281,100720752,1,7.5,45,42.367138,-71.06895,42.367157,-71.06899
286,287,132174864,6,45.031136,45,42.36668,-71.0698,42.367027,-71.06952
287,288,132174864,1,11.8769,45,42.367027,-71.06952,42.367134,-71.06952
288,289,132174864,3,26.752901,45,42.367134,-71.06952,42.367287,-71.06977
320,321,355830232,11,82.94282,45,42.36983,-71.06973,42.370262,-71.07056
321,322,100720752,2,18.164028,45,42.367176,-71.06924,42.367085,-71.06905
322,323,100720752,2,17.648409,45,42.367157,-71.06899,42.36725,-71.06917
323,324,8647804,1,7.5,45,42.366795,-71.0669,42.366795,-71.0669
359,360,8647133,1,7.5,45,42.366673,-71.068275,42.36666,-71.06826
360,361,426456698,1,7.5,45,42.36672,-71.0682,42.366734,-71.06821
367,368,426456698,1,7.5,45,42.36666,-71.068184,42.36672,-71.0682
368,369,288994035,1,7.5,45,42.36673,-71.0682,42.366734,-71.06821
369,370,442968316,4,34.332756,45,42.36265,-71.08441,42.36242,-71.08469
370,371,442968316,2,15.289565,45,42.36242,-71.08469,42.362373,-71.08486
371,372,442968316,47,359.91238,45,42.362373,-71.08486,42.362713,-71.08922
372,373,442968316,52,394.82822,45,42.36272,-71.08994,42.362328,-71.08517
373,374,442968316,11,86.39248,45,42.362328,-71.08517,42.3622,-71.08413
374,375,442968316,2,15.139672,45,42.3622,-71.08413,42.362217,-71.08395
375,376,442968316,1,12.605035,45,42.362217,-71.08395,42.362286,-71.083824
376,377,442968316,4,32.617973,45,42.362286,-71.083824,42.36216,-71.083466
377,378,442968316,7,57.237106,45,42.36216,-71.083466,42.362022,-71.082794
378,379,442968316,11,86.05478,45,42.362144,-71.08212,42.362194,-71.08317
379,380,442968316,6,51.01246,45,42.362194,-71.08317,42.36236,-71.08375
380,381,8614841,20,150.71967,45,42.365322,-71.08457,42.365093,-71.08276
381,382,81161476,10,75.08367,45,42.364967,-71.08176,42.364304,-71.081924
382,383,8615712,13,103.83958,45,42.3644,-71.08476,42.365322,-71.08457
383,384,8615712,9,74.97102,45,42.365997,-71.08443,42.36666,-71.08427
384,385,356677796,1,10.593878,45,42.363464,-71.08631,42.36355,-71.08625
385,386,8615620,1,11.9428835,45,42.362366,-71.0871,42.362473,-71.08708
386,387,8615161,16,122.2819,45,42.3644,-71.08476,42.36385,-71.08347
387,388,8615466,1,11.9428835,45,42.36222,-71.08518,42.362328,-71.08517
388,389,8615466,21,162.4945,45,42.360767,-71.08539,42.36222,-71.08518
389,390,8615620,6,51.569572,45,42.361904,-71.08716,42.362366,-71.0871
390,391,356674431,2,17.52521,45,42.36214,-71.0834,42.361988,-71.08334
391,392,8615635,1,12.866257,45,42.36666,-71.08835,42.366596,-71.08822
392,393,383593828,2,16.231445,45,42.366436,-71.08809,42.366337,-71.087944
393,394,8615075,9,69.08368,45,42.36043,-71.083954,42.360996,-71.084305
394,395,426496427,69,523.5692,45,42.365627,-71.08154,42.366432,-71.08782
395,396,426496427,69,521.0273,45,42.36632,-71.08779,42.36552,-71.08154
396,397,426496452,2,21.74037,45,42.36265,-71.08441,42.362793,-71.08423
397,398,426496452,14,105.12102,45,42.362793,-71.08423,42.36362,-71.08361
398,399,426496452,44,334.37164,45,42.36362,-71.08361,42.366383,-71.082
399,400,242655751,2,18.91637,45,42.360996,-71.084305,42.36116,-71.084366
400,401,242655751,14,109.95475,45,42.36116,-71.084366,42.362144,-71.084236
401,402,8615421,5,38.142685,45,42.366325,-71.08154,42.366383,-71.082
402,403,8615995,14,110.633194,45,42.36498,-71.086136,42.364513,-71.084946
403,404,8615995,2,19.703978,45,42.364513,-71.084946,42.3644,-71.08476
404,405,8615995,18,141.89763,45,42.36307,-71.08512,42.364193,-71.0843
405,406,8615656,2,20.75884,45,42.366436,-71.08809,42.366596,-71.08822
406,407,149924229,2,19.180285,45,42.36245,-71.08818,42.36262,-71.08816
407,408,8616232,1,13.533118,45,42.361088,-71.08159,42.3612,-71.08166
408,409,268982969,1,7.5,45,42.36188,-71.08523,42.361874,-71.08516
409,410,8615977,23,173.89622,45,42.36666,-71.08408,42.366383,-71.082
410,411,220086451,1,7.5,45,42.36099,-71.084694,42.361,-71.084656
411,412,268998725,2,21.094929,45,42.363594,-71.082794,42.363773,-71.08271
412,413,8615889,13,101.71593,45,42.365093,-71.08276,42.36494,-71.08154
413,414,42550285,1,7.5,45,42.363544,-71.08783,42.363552,-71.08784
414,415,42550285,1,7.5,45,42.36621,-71.08728,42.366253,-71.08726
415,416,42550285,1,12.865904,45,42.366142,-71.08671,42.366215,-71.086586
416,417,42550285,4,33.231533,45,42.366215,-71.086586,42.366222,-71.08618
417,418,42550285,7,54.165066,45,42.365322,-71.08457,42.36541,-71.08522
418,419,42550285,2,17.260715,45,42.365833,-71.08511,42.365803,-71.08491
419,420,42550285,1,10.073087,45,42.361645,-71.08194,42.361732,-71.08191
