Node Number,"T (7am, No carpool)","T (7am, With carpool)","T (9am, No carpool)","T (9am, With carpool)","T (11am, No carpool)","T (11am, With carpool)"
218,134.481,134.472,179.448,173.137,134.466,134.461
219,132.318,132.311,167.676,161.365,132.306,132.302
220,140.192,140.216,196.518,181.91,140.064,140.117
221,135.328,135.313,177.81,176.149,135.313,135.308
222,129.97,129.955,170.764,170.616,129.954,129.95
223,125.993,125.978,166.089,166.498,125.977,125.973
224,122.055,122.04,162.056,162.525,122.04,122.035
225,121.388,121.407,149.407,159.424,121.408,121.408
226,115.223,115.255,143.23,153.259,115.244,115.387
227,113.492,113.965,144.985,153.047,113.484,113.668
228,111.855,112.35,143.34,151.409,111.847,112.032
229,115.696,116.007,147.215,155.276,115.685,115.807
230,117.418,117.602,148.963,157.017,117.405,117.478
231,120.002,119.995,151.579,159.63,119.986,119.986
232,123.772,123.762,155.69,163.734,123.191,123.196
233,125.467,125.455,157.593,165.581,125.038,125.04
234,122.802,122.79,154.928,162.932,122.373,122.375
235,127.512,127.499,159.86,167.811,127.267,127.269
236,124.272,124.258,156.62,164.571,124.027,124.029
237,122.321,122.308,154.67,162.62,122.077,122.079
238,121.57,121.556,153.918,161.869,121.325,121.327
239,120.107,120.093,152.455,160.406,119.862,119.864
240,106.733,106.878,134.72,144.767,106.753,106.895
241,132.897,132.907,180.668,174.293,132.88,132.876
242,127.517,127.558,175.289,168.913,127.5,127.496
243,129.315,129.302,156.242,156.094,129.3,129.296
244,126.871,126.858,154.6,155.038,126.857,126.853
245,123.108,123.095,150.819,151.274,123.094,123.09
246,127.16,127.147,150.612,151.262,127.146,127.141
247,127.095,127.082,141.55,142.204,127.081,127.076
248,127.07,127.057,140.79,141.604,127.056,127.051
249,127.007,126.994,149.542,150.353,126.993,126.989
250,125.402,125.391,148.471,147.42,125.39,125.385
251,126.298,126.296,130.52,127.906,126.295,126.291
252,127.27,127.267,140.17,133.894,127.265,127.262
253,129.07,129.066,149.997,143.692,129.063,129.059
254,123.51,123.52,139.21,144.818,123.521,123.519
255,126.214,126.213,126.21,126.21,126.211,126.208
256,127.165,127.163,137.45,132.586,127.161,127.158
257,117.166,117.163,127.45,122.587,117.162,117.158
258,0,0,0,0,0,0
259,9.83,9.82,20.11,15.25,9.82,9.82
260,168.84204,169.85869,244.83057,219.10767,159.93064,162.40354
261,168.09,169.11,243.99,218.27,159.23,161.69
